chuyenvi-1,cv,1786193.007,538402.416,13.700,HRMS:0.012,VRMS:0.022,STATUS:FIXED,SATS:14,AGE:2.0,PDOP:1.263,HDOP:0.563,VDOP:1.130,TDOP:1.465,GDOP:1.934,NRMS:0.008,ERMS:0.008,DATE:07-06-2026,TIME:17:46:06
chuyenvi-2,cv,1786189.100,538399.245,13.632,HRMS:0.011,VRMS:0.022,STATUS:FIXED,SATS:26,AGE:2.0,PDOP:1.232,HDOP:0.549,VDOP:1.104,TDOP:1.422,GDOP:1.882,NRMS:0.008,ERMS:0.008,DATE:07-06-2026,TIME:17:46:52
chuyenvi-3,cv,1786185.613,538396.300,13.474,HRMS:0.012,VRMS:0.022,STATUS:FIXED,SATS:26,AGE:2.0,PDOP:1.399,HDOP:0.597,VDOP:1.265,TDOP:1.654,GDOP:2.166,NRMS:0.008,ERMS:0.008,DATE:07-06-2026,TIME:17:48:35
chuyenvi-4,cv,1786179.371,538391.648,13.341,HRMS:0.011,VRMS:0.022,STATUS:FIXED,SATS:26,AGE:2.0,PDOP:1.429,HDOP:0.591,VDOP:1.301,TDOP:1.705,GDOP:2.225,NRMS:0.008,ERMS:0.008,DATE:07-06-2026,TIME:17:50:30
chuyenvi-5,cv,1786174.010,538389.386,13.252,HRMS:0.012,VRMS:0.023,STATUS:FIXED,SATS:26,AGE:2.0,PDOP:1.219,HDOP:0.565,VDOP:1.080,TDOP:1.415,GDOP:1.868,NRMS:0.008,ERMS:0.008,DATE:07-06-2026,TIME:17:52:34
chuyenvi-6,cv,1786168.123,538388.457,13.177,HRMS:0.012,VRMS:0.022,STATUS:FIXED,SATS:26,AGE:2.0,PDOP:1.328,HDOP:0.558,VDOP:1.205,TDOP:1.571,GDOP:2.057,NRMS:0.008,ERMS:0.008,DATE:07-06-2026,TIME:17:54:24
chuyenvi-7,cv,1786162.447,538388.827,13.043,HRMS:0.011,VRMS:0.023,STATUS:FIXED,SATS:26,AGE:2.0,PDOP:1.361,HDOP:0.566,VDOP:1.238,TDOP:1.617,GDOP:2.114,NRMS:0.008,ERMS:0.008,DATE:07-06-2026,TIME:17:56:06
chuyenvi-8,cv,1786156.767,538390.671,12.980,HRMS:0.012,VRMS:0.023,STATUS:FIXED,SATS:26,AGE:2.0,PDOP:1.434,HDOP:0.578,VDOP:1.313,TDOP:1.721,GDOP:2.240,NRMS:0.008,ERMS:0.008,DATE:07-06-2026,TIME:17:56:36
chuyenvi-9,cv,1786151.524,538393.120,12.939,HRMS:0.011,VRMS:0.022,STATUS:FIXED,SATS:26,AGE:2.0,PDOP:1.436,HDOP:0.578,VDOP:1.315,TDOP:1.724,GDOP:2.244,NRMS:0.008,ERMS:0.008,DATE:07-06-2026,TIME:17:57:03
chuyenvi-10,cv,1786146.050,538395.763,12.917,HRMS:0.012,VRMS:0.023,STATUS:FIXED,SATS:26,AGE:1.0,PDOP:1.450,HDOP:0.585,VDOP:1.327,TDOP:1.744,GDOP:2.268,NRMS:0.008,ERMS:0.008,DATE:07-06-2026,TIME:17:57:37
chuyenvi-11,cv,1786140.717,538397.660,12.896,HRMS:0.011,VRMS:0.023,STATUS:FIXED,SATS:26,AGE:2.0,PDOP:1.450,HDOP:0.586,VDOP:1.326,TDOP:1.744,GDOP:2.268,NRMS:0.008,ERMS:0.008,DATE:07-06-2026,TIME:17:58:00
chuyenvi-12,cv,1786134.826,538399.663,12.848,HRMS:0.012,VRMS:0.023,STATUS:FIXED,SATS:26,AGE:2.0,PDOP:1.449,HDOP:0.586,VDOP:1.326,TDOP:1.744,GDOP:2.268,NRMS:0.008,ERMS:0.008,DATE:07-06-2026,TIME:17:58:41
